guesses,clues,boards
"['king', 'unicorn']",fairytale,"green: ['king', 'fighter', 'cast', 'unicorn', 'poison', 'pitch', 'soul', 'stock', 'field'], black: ['roulette', 'match', 'day'], tan: ['opera', 'code', 'death', 'scientist', 'lap', 'agent', 'tag', 'cover', 'row', 'luck', 'mine', 'disease', 'well']"
"['pitch', 'lap']",baseball,"green: ['fighter', 'cast', 'poison', 'pitch', 'soul', 'stock', 'field'], black: ['roulette', 'match', 'day'], tan: ['opera', 'code', 'death', 'scientist', 'lap', 'agent', 'tag', 'cover', 'row', 'luck', 'mine', 'disease', 'well']"
"['poison', 'fighter']",pain,"green: ['fighter', 'poison', 'soul', 'field'], black: ['roulette', 'match', 'day'], tan: ['opera', 'code', 'death', 'scientist', 'agent', 'tag', 'cover', 'luck', 'mine', 'disease', 'well']"
"['lead', 'stock']",manager,"green: ['charge', 'life', 'code', 'degree', 'death', 'air', 'lead', 'angel', 'mammoth'], black: ['centaur', 'scientist', 'link'], tan: ['spring', 'fair', 'poison', 'round', 'center', 'embassy', 'pass', 'figure', 'stock', 'switch', 'fall', 'roulette', 'fighter']"
"['life', 'angel', 'degree']",immortality,"green: ['charge', 'life', 'code', 'degree', 'air', 'angel', 'mammoth'], black: ['centaur', 'scientist', 'link'], tan: ['spring', 'fair', 'poison', 'round', 'center', 'embassy', 'pass', 'figure', 'switch', 'fall', 'roulette', 'fighter']"
"['charge', 'air']",macbook,"green: ['charge', 'air', 'mammoth'], black: ['centaur', 'scientist', 'link'], tan: ['spring', 'fair', 'poison', 'round', 'center', 'embassy', 'pass', 'figure', 'switch', 'fall', 'roulette', 'fighter']"
"['fall', 'death']",cliff,"green: ['spring', 'charge', 'code', 'link', 'center', 'embassy', 'stock', 'death', 'fall'], black: ['poison', 'scientist', 'mammoth'], tan: ['centaur', 'fair', 'life', 'round', 'degree', 'pass', 'figure', 'air', 'switch', 'roulette', 'lead', 'angel', 'fighter']"
"['code', 'embassy']",building,"green: ['spring', 'charge', 'code', 'link', 'center', 'embassy', 'stock'], black: ['poison', 'scientist', 'mammoth'], tan: ['centaur', 'fair', 'life', 'round', 'degree', 'pass', 'figure', 'air', 'switch', 'roulette', 'lead', 'angel', 'fighter']"
"['row', 'wind']",boat,"green: ['charge', 'march', 'center', 'row', 'life', 'revolution', 'press', 'check'], black: ['wind', 'boom', 'space'], tan: ['field', 'comic', 'spot', 'king', 'novel', 'pitch', 'plot', 'sound', 'grace', 'beat', 'mine', 'alien', 'figure']"
"['bond', 'spy']",james,"green: ['luck', 'revolution', 'slip', 'cycle', 'cast', 'unicorn', 'spy', 'bond', 'millionaire'], black: ['ray', 'pitch', 'code'], tan: ['mammoth', 'spell', 'war', 'strike', 'crash', 'life', 'march', 'fair', 'beat', 'sound', 'pass', 'air', 'capital']"
"['mammoth', 'unicorn']",animal,"green: ['ray', 'mammoth', 'war', 'luck', 'slip', 'crash', 'march', 'sound', 'unicorn'], black: ['pitch', 'cycle', 'beat'], tan: ['spell', 'strike', 'revolution', 'life', 'fair', 'pass', 'cast', 'air', 'spy', 'capital', 'code', 'bond', 'millionaire']"
"['luck', 'march']",stpatrick,"green: ['ray', 'war', 'luck', 'slip', 'crash', 'march', 'sound'], black: ['pitch', 'cycle', 'beat'], tan: ['spell', 'strike', 'revolution', 'life', 'fair', 'pass', 'cast', 'air', 'spy', 'capital', 'code', 'bond', 'millionaire']"
"['conductor', 'opera']",orchestra,"green: ['figure', 'tag', 'vacuum', 'conductor', 'opera'], black: ['trip', 'angel', 'racket'], tan: ['press', 'date', 'disease', 'center', 'field', 'match', 'ray', 'round', 'ghost', 'embassy', 'space']"
"['degree', 'superhero']",education,"green: ['point', 'centaur', 'degree'], black: ['compound', 'fair', 'ray'], tan: ['cycle', 'life', 'spy', 'superhero', 'soul', 'fighter', 'beat', 'king', 'revolution', 'check', 'agent', 'charge', 'spell']"
"['king', 'revolution']",overthrow,"green: ['force', 'club', 'revolution', 'opera', 'row', 'king'], black: ['code', 'change', 'drop'], tan: ['trip', 'scientist', 'novel', 'degree', 'ninja', 'strike', 'boom', 'stock', 'air', 'switch', 'alien', 'mine']"
"['row', 'opera']",boat,"green: ['force', 'club', 'opera', 'row'], black: ['code', 'change', 'drop'], tan: ['trip', 'scientist', 'novel', 'degree', 'ninja', 'boom', 'stock', 'air', 'switch', 'alien', 'mine']"
"['ghost', 'force']",supernatural,"green: ['trip', 'ghost', 'novel', 'degree', 'cast', 'opera', 'alien', 'drop'], black: ['revolution', 'change', 'boom'], tan: ['scientist', 'force', 'code', 'club', 'sub', 'ninja', 'strike', 'stock', 'air', 'row', 'switch', 'king', 'mine']"
"['novel', 'alien']",book,"green: ['trip', 'novel', 'degree', 'cast', 'opera', 'alien', 'drop'], black: ['revolution', 'change', 'boom'], tan: ['scientist', 'code', 'club', 'sub', 'ninja', 'strike', 'stock', 'air', 'row', 'switch', 'king', 'mine']"
"['trip', 'drop']",slip,"green: ['trip', 'degree', 'cast', 'opera', 'drop'], black: ['revolution', 'change', 'boom'], tan: ['scientist', 'code', 'club', 'sub', 'ninja', 'strike', 'stock', 'row', 'switch', 'king', 'mine']"
"['figure', 'code']",number,"green: ['novel', 'fighter', 'figure', 'crash', 'capital', 'code', 'vacuum', 'cold'], black: ['disease', 'stock', 'luck'], tan: ['round', 'opera', 'millionaire', 'centaur', 'conductor', 'king', 'date', 'scientist', 'grace', 'ray', 'pass', 'charge', 'boom']"
"['crash', 'boom']",hit,"green: ['fighter', 'crash', 'capital', 'vacuum', 'cold'], black: ['disease', 'stock', 'luck'], tan: ['round', 'opera', 'millionaire', 'centaur', 'conductor', 'king', 'date', 'scientist', 'grace', 'ray', 'pass', 'charge', 'boom']"
"['millionaire', 'tag']",money,"green: ['round', 'millionaire', 'centaur', 'conductor', 'tag', 'charge', 'luck', 'vacuum', 'cold'], black: ['novel', 'disease', 'ray'], tan: ['fighter', 'opera', 'figure', 'crash', 'capital', 'king', 'date', 'scientist', 'grace', 'stock', 'code', 'pass', 'boom']"
"['death', 'undertaker']",graveyard,"green: ['spell', 'death', 'air', 'comic', 'novel', 'undertaker', 'centaur', 'lap', 'code'], black: ['mount', 'capital', 'crash'], tan: ['drop', 'leprechaun', 'pass', 'lead', 'green', 'check', 'well', 'cover', 'day', 'space', 'revolution', 'mine', 'genius']"
"['novel', 'cover']",read,"green: ['spell', 'air', 'comic', 'novel', 'centaur', 'lap', 'code'], black: ['mount', 'capital', 'crash'], tan: ['drop', 'leprechaun', 'pass', 'lead', 'green', 'check', 'well', 'cover', 'day', 'space', 'revolution', 'mine', 'genius']"
"['spell', 'centaur', 'comic']",magic,"green: ['spell', 'air', 'comic', 'centaur', 'lap', 'code'], black: ['mount', 'capital', 'crash'], tan: ['drop', 'leprechaun', 'pass', 'lead', 'green', 'check', 'well', 'day', 'space', 'revolution', 'mine', 'genius']"
"['capital', 'mount']",geography,"green: ['well', 'day', 'space', 'capital', 'genius'], black: ['pass', 'air', 'crash'], tan: ['drop', 'lead', 'mount', 'green', 'novel', 'undertaker', 'cover', 'centaur', 'revolution', 'mine', 'lap', 'code']"
"['disease', 'ghost']",death,"green: ['disease', 'wind', 'space', 'spring', 'conductor', 'pitch', 'ray', 'vacuum', 'ghost'], black: ['trip', 'match', 'mammoth'], tan: ['march', 'roulette', 'cast', 'cover', 'leprechaun', 'agent', 'day', 'mine', 'pass', 'embassy', 'ninja', 'cold', 'centaur']"
"['conductor', 'pitch']",orchestra,"green: ['wind', 'space', 'spring', 'conductor', 'pitch', 'ray', 'vacuum'], black: ['trip', 'match', 'mammoth'], tan: ['march', 'roulette', 'cast', 'cover', 'leprechaun', 'agent', 'day', 'mine', 'pass', 'embassy', 'ninja', 'cold', 'centaur']"
"['space', 'spring']",above,"green: ['wind', 'space', 'spring', 'ray', 'vacuum'], black: ['trip', 'match', 'mammoth'], tan: ['march', 'roulette', 'cast', 'cover', 'leprechaun', 'agent', 'mine', 'pass', 'embassy', 'ninja', 'cold', 'centaur']"
"['cold', 'ray']",freeze,"green: ['match', 'cast', 'wind', 'embassy', 'ninja', 'cold', 'vacuum'], black: ['trip', 'agent', 'spring'], tan: ['march', 'roulette', 'cover', 'leprechaun', 'day', 'space', 'pass', 'conductor', 'pitch', 'ray', 'ghost', 'mammoth', 'centaur']"
"['cast', 'match']",play,"green: ['match', 'cast', 'wind', 'embassy', 'ninja', 'vacuum'], black: ['trip', 'agent', 'spring'], tan: ['march', 'roulette', 'cover', 'leprechaun', 'day', 'space', 'pass', 'conductor', 'pitch', 'ghost', 'mammoth', 'centaur']"
"['vacuum', 'roulette']",noisy,"green: ['wind', 'embassy', 'ninja', 'vacuum'], black: ['trip', 'agent', 'spring'], tan: ['march', 'roulette', 'cover', 'leprechaun', 'day', 'space', 'pass', 'conductor', 'pitch', 'ghost', 'mammoth', 'centaur']"
"['green', 'spring']",foliage,"green: ['green', 'conductor', 'spring', 'king', 'plot', 'date', 'compound', 'club', 'ninja'], black: ['part', 'trip', 'scientist'], tan: ['lap', 'grace', 'tag', 'capital', 'mammoth', 'center', 'row', 'luck', 'war', 'fighter', 'superhero', 'beat', 'spy']"
"['club', 'part']",drama,"green: ['conductor', 'king', 'plot', 'date', 'compound', 'club', 'ninja'], black: ['part', 'trip', 'scientist'], tan: ['lap', 'grace', 'tag', 'capital', 'mammoth', 'center', 'row', 'luck', 'war', 'fighter', 'superhero', 'beat', 'spy']"
"['center', 'capital']",location,"green: ['lap', 'center', 'row', 'green', 'trip', 'war', 'date', 'superhero', 'club'], black: ['grace', 'part', 'plot'], tan: ['tag', 'capital', 'mammoth', 'conductor', 'luck', 'spring', 'king', 'fighter', 'beat', 'compound', 'spy', 'scientist', 'ninja']"
"['lap', 'beat']",racing,"green: ['lap', 'row', 'trip', 'war', 'date', 'superhero', 'club'], black: ['grace', 'part', 'plot'], tan: ['tag', 'mammoth', 'conductor', 'luck', 'spring', 'king', 'fighter', 'beat', 'compound', 'spy', 'scientist', 'ninja']"
"['crash', 'day']",accident,"green: ['pass', 'day', 'crash'], black: ['conductor', 'soul', 'lap'], tan: ['center', 'king', 'fall', 'racket', 'mount', 'point', 'trip', 'green', 'wind', 'centaur', 'cold', 'witch']"
"['air', 'draft']",wind,"green: ['embassy', 'cycle', 'check', 'air', 'play', 'day', 'round', 'draft'], black: ['cold', 'superhero', 'centaur'], tan: ['roulette', 'luck', 'revolution', 'light', 'space', 'boom', 'march', 'plot', 'compound', 'fall', 'cover', 'poison', 'row']"
"['march', 'leprechaun']",stpatrick,"green: ['check', 'superhero', 'light', 'boom', 'march', 'leprechaun', 'fall', 'poison', 'draft'], black: ['play', 'space', 'centaur'], tan: ['embassy', 'roulette', 'luck', 'cycle', 'cold', 'air', 'revolution', 'day', 'plot', 'compound', 'cover', 'round', 'row']"
"['lap', 'cycle', 'field']",racer,"green: ['check', 'cycle', 'lap', 'comic', 'row', 'crash', 'field', 'scientist', 'novel'], black: ['degree', 'strike', 'part'], tan: ['war', 'draft', 'drop', 'spell', 'link', 'unicorn', 'millionaire', 'poison', 'mammoth', 'cold', 'cover', 'grace', 'death']"
"['comic', 'novel']",book,"green: ['check', 'comic', 'row', 'crash', 'novel'], black: ['degree', 'strike', 'part'], tan: ['war', 'draft', 'drop', 'spell', 'link', 'unicorn', 'millionaire', 'poison', 'mammoth', 'cold', 'cover', 'grace', 'death']"
"['crash', 'part']",car,"green: ['check', 'row', 'crash'], black: ['degree', 'strike', 'part'], tan: ['war', 'draft', 'drop', 'spell', 'link', 'unicorn', 'millionaire', 'poison', 'mammoth', 'cold', 'cover', 'grace', 'death']"
"['cold', 'cover']",jacket,"green: ['drop', 'unicorn', 'millionaire', 'part', 'cold', 'cover'], black: ['check', 'war', 'degree'], tan: ['comic', 'row', 'draft', 'crash', 'spell', 'link', 'field', 'strike', 'poison', 'mammoth', 'novel', 'grace', 'death']"
"['king', 'club']",queen,"green: ['vacuum', 'roulette', 'angel', 'play', 'king', 'center', 'comic', 'soul'], black: ['luck', 'check', 'plot'], tan: ['spring', 'cast', 'racket', 'disease', 'alien', 'club', 'unicorn', 'beat', 'boom', 'genius', 'lap', 'air', 'point']"
"['comic', 'play']",funny,"green: ['play', 'comic'], black: ['luck', 'check', 'plot'], tan: ['spring', 'cast', 'racket', 'disease', 'alien', 'unicorn', 'beat', 'boom', 'genius', 'lap', 'air', 'point']"
"['cast', 'check']",spell,"green: ['spring', 'vacuum', 'luck', 'cast', 'angel', 'disease', 'unicorn', 'soul', 'point'], black: ['plot', 'comic', 'lap'], tan: ['poison', 'check', 'roulette', 'racket', 'play', 'king', 'alien', 'center', 'club', 'beat', 'boom', 'genius', 'air']"
"['angel', 'soul']",heaven,"green: ['spring', 'vacuum', 'luck', 'angel', 'disease', 'unicorn', 'soul', 'point'], black: ['plot', 'comic', 'lap'], tan: ['poison', 'roulette', 'racket', 'play', 'king', 'alien', 'center', 'club', 'beat', 'boom', 'genius', 'air']"
"['undertaker', 'poison']",death,"green: ['millionaire', 'strike', 'degree', 'poison', 'undertaker', 'centaur', 'cast', 'field', 'conductor'], black: ['beat', 'novel', 'fighter'], tan: ['point', 'fair', 'link', 'opera', 'scientist', 'state', 'time', 'unicorn', 'vacuum', 'slip', 'spring', 'spy', 'ghost']"
"['field', 'strike']",baseball,"green: ['millionaire', 'strike', 'degree', 'centaur', 'cast', 'field', 'conductor'], black: ['beat', 'novel', 'fighter'], tan: ['point', 'fair', 'link', 'opera', 'scientist', 'state', 'time', 'unicorn', 'vacuum', 'slip', 'spring', 'spy', 'ghost']"
"['cast', 'novel']",broadway,"green: ['millionaire', 'centaur', 'cast', 'conductor'], black: ['beat', 'novel', 'fighter'], tan: ['point', 'fair', 'link', 'opera', 'scientist', 'state', 'time', 'unicorn', 'vacuum', 'slip', 'spring', 'spy', 'ghost']"
"['opera', 'vacuum']",noisy,"green: ['fair', 'degree', 'opera', 'state', 'time', 'vacuum', 'cast', 'field', 'fighter'], black: ['millionaire', 'link', 'novel'], tan: ['beat', 'point', 'strike', 'scientist', 'poison', 'unicorn', 'undertaker', 'slip', 'centaur', 'spring', 'spy', 'ghost', 'conductor']"
"['fighter', 'conductor']",ring,"green: ['fair', 'degree', 'state', 'time', 'cast', 'field', 'fighter'], black: ['millionaire', 'link', 'novel'], tan: ['beat', 'point', 'strike', 'scientist', 'poison', 'unicorn', 'undertaker', 'slip', 'centaur', 'spring', 'spy', 'ghost', 'conductor']"
"['degree', 'state', 'beat']",college,"green: ['fair', 'degree', 'state', 'time', 'cast'], black: ['millionaire', 'link', 'novel'], tan: ['beat', 'point', 'strike', 'scientist', 'poison', 'unicorn', 'undertaker', 'slip', 'centaur', 'spring', 'spy', 'ghost']"
"['disease', 'poison']",vaccine,"green: ['day', 'centaur', 'disease', 'pitch', 'conductor', 'well', 'beat', 'leprechaun', 'spell'], black: ['cast', 'unicorn', 'tag'], tan: ['club', 'spring', 'plot', 'spot', 'mass', 'strike', 'contract', 'ghost', 'change', 'center', 'poison', 'match', 'check']"
"['pitch', 'well']",tent,"green: ['day', 'pitch', 'conductor', 'well', 'beat', 'spell'], black: ['cast', 'unicorn', 'tag'], tan: ['club', 'spring', 'plot', 'spot', 'mass', 'strike', 'contract', 'ghost', 'change', 'center', 'match', 'check']"
"['unicorn', 'centaur', 'leprechaun']",mythical,"green: ['club', 'spot', 'unicorn', 'mass', 'centaur', 'conductor', 'change', 'leprechaun', 'center'], black: ['contract', 'tag', 'beat'], tan: ['day', 'spring', 'cast', 'plot', 'disease', 'strike', 'pitch', 'ghost', 'well', 'poison', 'spell', 'match', 'check']"
"['center', 'spot']",middle,"green: ['spot', 'mass', 'change', 'center'], black: ['contract', 'tag', 'beat'], tan: ['spring', 'cast', 'plot', 'disease', 'strike', 'pitch', 'ghost', 'well', 'poison', 'spell', 'match', 'check']"
"['scientist', 'genius']",research,"green: ['strike', 'scientist', 'change', 'alien'], black: ['trip', 'bond', 'racket'], tan: ['slip', 'leprechaun', 'revolution', 'space', 'comic', 'angel', 'centaur', 'genius', 'spell', 'stock', 'fall', 'ghost', 'wake']"
"['ghost', 'space', 'scientist']",casper,"green: ['ninja', 'space', 'comic', 'centaur', 'racket', 'ghost', 'link', 'wake'], black: ['trip', 'change', 'genius'], tan: ['slip', 'leprechaun', 'revolution', 'strike', 'scientist', 'angel', 'beat', 'spell', 'alien', 'day', 'stock', 'fall']"
"['racket', 'wake', 'comic']",loud,"green: ['ninja', 'comic', 'centaur', 'racket', 'link', 'wake'], black: ['trip', 'change', 'genius'], tan: ['slip', 'leprechaun', 'revolution', 'strike', 'angel', 'beat', 'spell', 'alien', 'day', 'stock', 'fall']"
"['ninja', 'spy']",sneaky,"green: ['fall', 'cycle', 'check', 'spy', 'capital', 'ninja', 'match', 'change', 'air'], black: ['death', 'superhero', 'round'], tan: ['war', 'club', 'tag', 'point', 'comic', 'part', 'embassy', 'charge', 'disease', 'boom', 'sub', 'code', 'spell']"
"['match', 'club']",chess,"green: ['fall', 'check', 'match', 'change', 'air'], black: ['death', 'superhero', 'round'], tan: ['war', 'club', 'tag', 'point', 'comic', 'part', 'embassy', 'charge', 'disease', 'boom', 'sub', 'code', 'spell']"
"['degree', 'tag']",graduation,"green: ['degree', 'undertaker', 'march', 'tag', 'sound', 'centaur', 'witch', 'racket'], black: ['roulette', 'leprechaun', 'mammoth'], tan: ['well', 'cast', 'pass', 'cover', 'lap', 'play', 'ghost', 'war', 'force', 'ray', 'compound', 'row', 'fall']"
"['racket', 'sound']",noise,"green: ['undertaker', 'march', 'sound', 'centaur', 'witch', 'racket'], black: ['roulette', 'leprechaun', 'mammoth'], tan: ['well', 'cast', 'pass', 'cover', 'lap', 'play', 'ghost', 'war', 'force', 'ray', 'compound', 'row', 'fall']"
"['war', 'compound']",army,"green: ['well', 'march', 'play', 'war', 'compound'], black: ['undertaker', 'cover', 'leprechaun'], tan: ['degree', 'cast', 'tag', 'pass', 'lap', 'roulette', 'ghost', 'force', 'centaur', 'witch', 'ray', 'racket', 'fall']"
"['well', 'play']",games,"green: ['well', 'play'], black: ['undertaker', 'cover', 'leprechaun'], tan: ['degree', 'cast', 'tag', 'pass', 'lap', 'roulette', 'ghost', 'force', 'centaur', 'witch', 'ray', 'racket']"
"['plot', 'revolution']",coup,"green: ['lead', 'revolution', 'switch', 'plot', 'part', 'row', 'tag', 'alien', 'grace'], black: ['play', 'pitch', 'light'], tan: ['compound', 'link', 'mine', 'space', 'superhero', 'ghost', 'cycle', 'code', 'soul', 'stock', 'green', 'opera', 'fighter']"
"['light', 'space']",dark,"green: ['space', 'light'], black: ['play', 'ghost', 'tag'], tan: ['lead', 'compound', 'pitch', 'link', 'superhero', 'plot', 'code', 'part', 'soul', 'row', 'stock', 'opera', 'grace']"
"['unicorn', 'centaur']",mythical,"green: ['centaur', 'cold', 'boom', 'soul', 'unicorn', 'tag', 'vacuum', 'novel'], black: ['strike', 'green', 'cover'], tan: ['crash', 'agent', 'round', 'state', 'lap', 'switch', 'center', 'point', 'cast', 'grace', 'sound', 'link', 'war']"
"['conductor', 'switch', 'boom']",railroad,"green: ['conductor', 'agent', 'lap', 'switch', 'strike', 'unicorn', 'tag', 'cast', 'war'], black: ['soul', 'point', 'cover'], tan: ['centaur', 'cold', 'boom', 'crash', 'round', 'state', 'vacuum', 'green', 'center', 'novel', 'grace', 'sound', 'link']"
"['war', 'strike']",attack,"green: ['agent', 'lap', 'strike', 'tag', 'war'], black: ['soul', 'point', 'cover'], tan: ['centaur', 'cold', 'crash', 'round', 'state', 'vacuum', 'green', 'center', 'novel', 'grace', 'sound', 'link']"
"['play', 'check']",casino,"green: ['poison', 'wake', 'ray', 'millionaire', 'play', 'bond', 'charge', 'wind', 'agent'], black: ['capital', 'march', 'point'], tan: ['mount', 'leprechaun', 'pass', 'witch', 'mine', 'lap', 'link', 'lead', 'check', 'change', 'day', 'field', 'spell']"
"['millionaire', 'change']",money,"green: ['leprechaun', 'pass', 'point', 'wake', 'check', 'millionaire', 'field', 'spell'], black: ['march', 'change', 'agent'], tan: ['mount', 'poison', 'capital', 'witch', 'mine', 'lap', 'link', 'lead', 'ray', 'bond', 'day', 'charge', 'wind']"
"['novel', 'plot']",book,"green: ['day', 'round', 'cycle', 'vacuum', 'spy', 'ray', 'roulette', 'plot', 'novel'], black: ['genius', 'draft', 'green'], tan: ['king', 'trip', 'code', 'row', 'leprechaun', 'time', 'capital', 'mine', 'millionaire', 'racket', 'disease', 'force', 'mammoth']"
"['day', 'ray']",light,"green: ['day', 'round', 'cycle', 'vacuum', 'spy', 'ray'], black: ['genius', 'draft', 'green'], tan: ['king', 'trip', 'code', 'row', 'leprechaun', 'time', 'capital', 'mine', 'millionaire', 'racket', 'disease', 'force', 'mammoth']"
"['comic', 'play']",_book,"green: ['comic', 'conductor', 'superhero', 'change'], black: ['ray', 'force', 'code'], tan: ['millionaire', 'wake', 'mass', 'spring', 'witch', 'fighter', 'light', 'play', 'alien', 'sub', 'capital', 'poison', 'scientist']"
